ticker_id,item_id,status,Ticker
83500,121,1,CVXc
88293,1712,1,EVT
3287,2267,1,BORUF
3291,35041,1,HASGF
3250,34952,1,SYNF
3264,35005,1,SYSC
3298,2289,1,CT71
3308,35083,1,TBNAF
3312,35085,1,TCISF
3316,35090,1,TN0
3318,2345,1,EMQ
99626,1793688,1,ESO
3321,35116,1,TAICY
99627,1793689,1,G4M
88298,1713,1,FIE
3327,2353,1,E7SN
88450,1746,1,SY1
3333,2366,1,FPH
3334,2366,1,FTYPF
3337,2368,1,CEA
3353,35156,1,TAINWALCHM
3345,35141,1,T2J
3347,35144,1,TKIAF
3351,2380,1,GGS
3352,2380,1,ARQTF
3357,35164,1,TSOCF
3360,35166,1,TAISF
3363,2402,1,IPO
3366,2420,1,IFA
3368,2427,1,HUZ
3371,2429,1,IXX
3372,2429,1,IVTFF
3373,2430,1,II8
3375,2435,1,IOI
3377,2448,1,KA8
3400,2484,1,D7S
3407,35257,1,TKNOF
3419,35265,1,TKS
3423,35268,1,TKSNF
3427,35274,1,TKTDY
3430,35276,1,TGNO2
3441,35288,1,TKSMF
3406,35257,0,TDF
3412,35260,0,TF2
3446,35297,1,XRS
3448,35297,1,IZZ
3457,35303,1,TIHDY
3459,2538,1,ONV
3463,2544,1,PDEK
3470,2554,1,PS4
3471,2554,1,PXSNF
83501,121,1,CVX
3476,2561,1,PUZ
3478,35332,1,TNPL
3482,37988,1,W81
3483,37988,1,SKPSF
3492,2585,1,BUF
3451,35297,0,XRSy
83148,2052,0,M3Z
3488,35348,0,TDJ
99630,2274,1,OGG1
3512,35390,1,TAOM
3514,35390,1,TA5A
3520,35401,1,TEDU
3523,2637,1,SAS
3524,2637,1,SASN
3530,2646,1,ARX
99631,40587,1,ZIGGO
3532,2651,1,TIM
3533,2652,1,TIS
86906,32000,1,VEDL
3539,2669,1,UZU
3542,2672,1,VBH
3548,35442,1,TTCMY
3549,2675,1,VBK
3561,2688,1,WAN
3522,35401,0,0T8A
3586,35499,1,TCCLF
3595,35501,1,TCLHF
4138,3607,1,AMCN
3566,35465,1,TAV
3613,35535,1,TCHQY
3731,2978,1,ACTL
3580,35491,0,TH7
3590,35499,0,UGD2
3612,35535,1,TECHM
3593,35501,0,TC2A
3643,35584,1,TTNDY
3648,35588,1,TECK
3649,35588,1,TWPPF
3658,35602,1,TECPRO
3668,35623,1,TKKUF
3670,35623,1,6TK
3673,2856,1,ABBDY
3680,2866,1,ABM
3684,2875,1,AMKYF
3690,35657,1,T28
3656,2832,1,ARTO
3696,2895,1,ABHISHEK
3701,35684,1,TBCN
3703,35684,1,TVBCY
3712,35711,1,TEMPF
3723,35737,1,TSBSF
3730,2978,1,ACTLG
3743,2997,1,ACGFF
3744,2997,1,ACGFY
3681,2867,1,ABCGAS
3697,2901,1,ARFS
3699,2904,1,ABLBIO
3757,3046,1,ACM
3761,3055,1,ACMUY
3764,3058,1,ATV
3766,3058,1,FEMy
3741,2997,0,GP4
3718,2962,1,ACC
3760,3055,0,AK5
3767,3058,0,FEM
3775,35850,1,TTXTF
3785,35863,1,TXWHF
3791,3096,1,ACTS
3792,3096,1,A8S
3805,3133,1,ANNRY
3811,3140,1,PNMOF
3817,3157,1,ADDV
3818,3157,1,AVTLF
3784,3094,1,AFIS
3824,35938,1,TSIL
3789,35863,0,TXW
3802,3126,0,1CP
3848,35976,1,BOFKF
3869,3237,1,ADZZF
3877,3245,1,AVNSF
3878,3245,1,CQZ
3881,36022,1,CRHHF
3887,3261,1,ADV
3888,3261,1,V1T
3892,36049,1,FACT
3894,36053,1,FCF
3896,3286,1,AVMFF
3895,3286,0,S7Q
3906,36065,0,FBB
3917,36083,1,HACBY
3925,3323,1,A02
3930,36098,1,HKSHF
3941,36108,1,IDHCF
3953,36122,1,JOYOF
3955,3355,1,ANDGF
3959,3357,1,AEOJF
83161,22536,1,OREP
3908,3298,0,DCV
3968,3363,0,AVK1
83149,2052,1,CLTN
3939,36108,1,INDHOTEL
4013,36217,1,PIR
4022,36233,1,RLGDF
4023,36233,1,MLM
4034,3482,1,AGPYY
4007,3439,0,BP6
4035,3482,0,A8P
4057,36277,1,SWHOF
4076,3530,1,AGTEF
4080,36299,1,ULIHY
4081,36299,1,UNJ
4095,3550,1,AAGGY
4101,36324,1,NCTY
83150,2052,1,CLHLF
83153,2055,1,CFNCF
4105,3558,1,ADERY
83155,22536,1,LRLCF
4051,36273,0,TB6
4077,3530,0,3AH
83152,2055,1,CFT
4124,36352,1,THXXY
4126,3592,1,AWTRF
4128,3592,1,0AW
4136,3607,1,AMCNy
4144,36377,1,TPNTF
4149,3613,1,AJB1
4151,36383,1,THKLY
138259,1815379,1,RBK
4159,3622,1,ASEKY
4176,3638,1,AJSCF
83156,22536,1,LRLCY
83159,22536,1,ORN
83160,22536,1,OR
4190,3657,1,AKBIY
4191,3657,1,AKBIF
4193,36427,1,TIACF
4205,36438,1,TNHCF
4207,3671,1,AIQ
4209,36440,1,JAQ
4210,36441,1,TCEPY
138261,1815391,1,GSHL
138262,1815393,1,VEIL
138263,1815394,1,MCL
138264,1815395,1,DCTA
138265,1815396,1,COM
138266,1815397,1,GSH
138267,1815398,1,BHRD
138268,1815399,1,GUSC
138270,1815401,1,FTV
138271,9882,1,HWG
4212,36441,1,TIA
4219,36443,1,TJSCF
4158,3621,1,ATEL
4224,3679,1,ADCH
4180,3640,1,AJMERA
4223,3678,1,AKSHOPTFBR
4238,36458,1,TJIPF
83163,22536,0,LOR
4236,36458,0,T9P
4239,36458,1,TJIPY
4244,3691,1,AKZOY
4259,36474,1,TASB
4263,36476,1,TIANF
83166,4105,1,AA2
4287,36506,1,TIEMF
83168,4105,1,AMDWF
83169,4105,1,AMDLY
83171,2058,1,CLXN
83173,2058,1,CX1
4262,36476,0,TPQ
4243,3691,1,AKZOINDIA
4284,36497,1,TIDEWATER
4285,36497,1,TWO
4314,36553,1,TILS
4316,36553,1,TLW
4319,36556,1,TMPPF
4360,36647,1,TMCH
83176,2059,1,CSBTF
83181,36877,1,TRYIF
4324,3800,1,ALFRD
4361,36647,1,TMC
4362,36647,1,ALTMC
4363,37003,1,T9T
4364,37003,1,TYOTF
4388,3912,1,ALEDY
4400,3926,1,ATSKF
4406,36702,1,TEPCY
4416,3944,1,ALOOF
4417,3944,1,A3HB
83177,2059,0,YTS
4379,36672,0,T3O
4426,36717,1,TO91
4427,36717,1,TOKTY
4439,36728,1,TKOBF
4469,36755,1,TYS
83184,2062,1,DUFRY
83185,2062,1,DUFN
83182,36877,0,TOR1
4484,36771,1,TOCOF
4487,4004,1,AE2
83186,2062,1,DAGB11
4488,4004,1,AELEF
83187,2062,1,D2J
4508,36796,1,TGRLY
4515,36803,1,TGRNF
83190,2063,1,DTWHF
4516,36803,1,TNG
4492,4007,1,ALPI
83192,2064,1,EPHS
4533,38906,1,WACLY
4483,36771,0,TQC
4532,38906,0,WA5
4546,36859,1,TOPCF
83196,2069,1,EMMN
4551,36870,1,TPREF
4560,4117,1,AMAOF
4570,4125,1,AMANF
4578,36900,1,TQRRY
4590,36910,1,TSHMY
4591,36910,1,TSHMF
4593,36911,1,TOISF
83194,25983,0,NB5
83200,2070,1,EMSN
4588,36910,0,TOA
83201,2070,1,EMSHF
83202,2070,1,EMC1
83203,4419,1,ALNPY
83204,4419,1,ALNPF
4615,4171,1,AMBUY
83209,35162,1,TISCY
4632,36978,1,TGASF
4633,36978,1,TGASY
4649,36992,1,TYIKY
4608,4165,1,ACML
4621,36947,0,6TS
4614,4171,1,ACEM
4626,36957,0,TO6
4661,37002,1,TSUKF
4667,37005,1,TOTRF
4669,37005,1,TYR
4672,37008,1,TGOSY
4678,37010,1,TYIDY
4681,38937,1,XW8
83215,2073,1,ELVAY
4686,37023,1,T18
4688,37023,1,TPVTY
4689,37023,1,TPVTF
83216,2073,1,ELVAF
83217,2073,1,ADF
4697,37037,1,T2E
4701,37054,1,T8H
4714,37105,1,TRIL
4673,37008,0,TGV
4727,37129,1,TPIHF
4737,37145,1,TVL
4738,37145,1,DMA
4742,37148,1,TSYHY
4753,37171,1,TREK
4755,37171,1,TRKL
83221,2074,1,FTON
4768,4416,1,AMVGF
4706,37060,1,TFC
4754,37171,0,TZ2
83219,2073,1,EVE
4785,37230,1,TIGGF
4795,37250,1,TSLy
4796,37250,1,TSL
4809,4493,1,AJW
4810,4493,1,AMGXF
4813,37262,1,UPG
4823,4517,1,AHCHF
4830,4518,1,AUHEF
4831,4518,1,AUHEY
4844,37294,1,TVX
4801,37250,0,TR3
4828,4517,0,AQE
4834,4518,0,HU7
4787,4465,1,ANDB
4789,4466,1,ANDHRACEMT
4806,4487,1,ANGI
83224,2074,1,FTO
83226,2075,1,FLGZY
83228,2076,1,FBOHY
83229,2076,1,FBOHF
83230,2076,1,FOZN
83231,25946,1,NSANF
83232,25946,1,NSANY
83238,2078,1,GGRUF
83239,2080,1,GBMN
83242,2080,1,BK9
83243,19763,1,JFM
83244,19763,1,JFROF
4860,37310,1,TRITURBINE
83248,2084,1,GVM
4872,4556,1,ANIKINDS
83251,2088,1,HOCN
83235,25946,0,NISA
83247,2084,0,GUR
4918,4624,0,5AO
4884,37345,1,TRUHY
83254,2089,1,HGUA
83255,14379,1,FISV
83258,14379,1,FIV
83263,2092,1,IMPN
83266,2092,1,I8T
83267,36909,1,TOSBF
83268,36909,1,TOSYY
4896,4589,1,AITUF
4908,4605,1,ANPDY
4909,4605,1,ANPDF
4903,4594,1,ANSALAPI
4911,4606,1,ATRG
4914,37380,1,TSIHF
4920,4624,1,ATONF
4883,37345,0,TYU2
83273,2095,1,INRN
4895,4589,0,AN1
4923,37394,0,TSB
83274,2095,1,IRRHF
83276,2095,1,I3H
4936,37405,1,TSUA
4938,37405,1,TSMRF
4928,4629,1,ANM
4941,37407,1,TSUSF
4945,4641,1,OIA
4954,4651,1,AXN
4957,4651,1,5CA
4966,37429,1,TIOIF
4972,37442,1,TULIP
4978,37459,1,TGTNF
4982,37463,1,TOUR
83280,2099,1,JFN
4960,37421,1,TTKPT
4965,37429,1,TUBEINVEST
4970,4668,1,APARINDS
4995,4717,1,AYRQY
5001,4730,1,ADHLY
83282,2099,1,JFBHF
83284,2099,1,J4F
5011,37518,1,TWCMS
5306,39101,1,WB
4999,37496,1,TACF
5014,4755,1,ASEJF
5015,4755,1,AY8
83285,2100,1,KABHF
5019,37532,1,TWT
5026,37563,1,TL9A
5039,37605,1,UBIC
5219,37875,1,UEDVF
83287,2100,1,KABN
5360,5282,0,AY7
5062,37635,1,UDLHY
5065,37638,1,NI3
5066,37639,1,UEHRF
5085,4917,1,AKEJF
5090,37687,1,UCLQF
5100,37698,1,U8M
5103,4935,1,ASWAY
5089,37687,1,ULTRACEMCO
5114,37730,1,UNCHF
5129,37761,1,UQNNY
5131,5002,1,ARKCF
83293,2101,1,KAX2
83295,2101,1,KRDXF
5123,4984,1,AEIL
5154,37807,1,UPCHY
5155,37807,1,UNPSF
5220,37875,1,4UE
83292,2101,0,KARN
5152,37807,0,58U
5169,5064,1,ARR
5172,37834,1,UNTHY
5174,5074,1,AHBCF
83298,2102,1,KMAAF
5178,5077,1,ADIMF
83300,2102,1,KR8
5190,37851,1,UNBWY
5194,5088,1,SHKGF
83347,2124,0,ODHN
5210,5103,1,ASNL
5212,37872,1,UNEGF
5224,37882,1,FEPTY
5225,37882,1,FRHN
5226,37885,1,UIC
5227,37885,1,UILCY
5213,37872,0,1UEN
83297,2102,1,KOMN
5241,37910,1,GGIG
5247,37919,1,UQNTY
83303,2103,1,KUIRY
83304,2103,1,KUIRF
84063,205,1,IHG
5280,37971,1,UEGCF
5284,37972,1,UETMF
83301,2103,0,KUX
83302,2103,1,KUNN
5292,5220,1,WL7B
5294,5221,1,AISLF
5298,5224,1,ASASF
5279,37966,1,UCS
5307,5234,1,5AB
5308,5234,1,ASIBF
5310,5234,1,5ABG
5329,5252,1,APTT
5330,5252,1,APTTF
5334,38026,1,U10
5335,38026,1,UOKH
83306,37603,1,UBEOF
5337,38028,1,U14
5338,38028,1,UOLGF
5339,38028,1,UTOS
83308,37603,1,UBEI
5351,38040,1,UPL
5359,5282,1,ASMVF
5344,38032,0,TVNC
83361,2130,1,PGHN
5400,38135,1,UHO
5401,38135,1,UHOIF
5406,38139,1,USSJY
5407,38139,1,USSJF
5412,5379,1,AUNRF
5418,38158,1,UTSI
5422,38158,1,UT5A
84071,205,0,IC1D
5405,38139,0,USV
5441,38181,1,VTUWY
5467,39139,1,WLLHY
5483,38255,1,VPGLF
5485,38255,1,9Z1
83311,37603,0,UBE
5430,5403,0,88A
5466,39139,0,HUUA
5507,38306,1,MS7
5508,38306,1,VARHF
5509,38306,1,2S1
5522,38318,1,VARXY
5541,5578,1,ARBQY
89189,2067,1,E2S
5566,38407,1,VMS
5567,38407,1,VEM
5568,38407,1,VEMLY
5571,5643,1,AIHLY
5573,5643,1,WOKG
5577,5646,1,AB6
5582,5654,1,8AHB
5592,5667,1,ATRD
138369,1816054,1,02TP
83315,2108,0,GUA1
83317,2108,1,LFWWF
5617,5736,1,AX8
5559,5610,1,AUST
83319,2108,1,CARDG
5637,5755,1,AVIJF
5645,39191,1,WCHNF
138370,1816055,1,OJX
138371,1816056,1,J16
138372,1816058,1,DGR
138373,1816059,1,BSW
138374,1816060,1,4RL
138375,1816061,1,JPK1
138376,1816064,1,SYW
138377,1816065,1,KFW
138378,1816066,1,LSN
138379,1816067,1,TI4
83323,2112,1,MCHN
5629,5750,0,CTQ
5631,5751,0,CTS
83322,2112,0,MEF1
5691,38613,1,VDAHF
5692,38613,1,31V
5705,38637,1,VIPS
5717,5888,1,AZ
5718,5888,1,AFK
83328,34509,1,SUHJY
83325,2113,0,NDH1
5746,38711,1,VISN
5747,38711,1,3VMBy
5764,5962,1,BJJQY
5772,38743,1,VTSYF
5719,38658,1,VIRT
5785,38760,1,GCTGY
83333,2118,1,ESMN
5748,38711,0,3VMB
83332,2115,0,MH4N
83331,2115,1,MIKN
5812,38818,1,VLTQY
5824,6086,1,BBKQY
5827,6088,1,CQN
5828,38858,1,VSTHY
5837,6094,1,BKNDY
5839,6095,1,BKIWF
5844,38864,1,VTKLY
83335,2118,0,E5C
5842,38864,0,VTCB
5823,6086,1,BOB
83338,35039,1,TDHOY
5900,6166,1,BAOXF
5901,6166,1,6BA
5889,38925,0,WKH
5929,38985,1,M7B
5937,39007,1,W1U
5943,39018,1,WOSSF
5949,6271,1,BBMPY
5951,6272,1,BBR
5952,6272,1,BBHDF
83339,35039,1,TDHOF
5964,39072,1,WNWSF
5932,6225,1,BATAINDIA
5974,6329,1,BEDMUTHA
5985,39114,1,WQTEY
6004,6359,1,BJCHY
6005,6359,1,BJ1
6008,6360,1,BJCLF
5956,6284,1,BCL
6030,6378,1,BJINF
6031,6378,1,BJINY
6040,39154,1,WELCORP
5989,39114,0,WEZ
83342,35039,0,TZ6
6006,6360,0,BEJ
6021,6370,0,BJG
6028,6378,0,BJEB
6054,6395,1,BJ6
83346,2124,1,ODHR
83348,2124,1,4O7
6051,6394,0,G2M
6120,6459,1,NFGRF
6122,6460,1,BEINF
6143,6519,1,5MC
83350,8552,1,CHRW
6149,39297,1,WHIRLPOOL
6156,6544,1,BERGEPAINT
6161,6579,1,BDK
83352,8552,1,CH1A
83353,2128,1,PLWTY
6178,39373,1,WSH
83354,2128,1,PLWTF
83355,2128,1,PWTN
6210,39416,1,WGHGY
6214,6650,1,BHQRY
6221,6654,1,BRQPY
6177,39373,0,WGK
6208,39416,0,WHK
6220,6654,1,BPCL
6248,39447,1,WWY
6258,39466,1,3WI
83359,2130,1,PGPHF
6274,39494,1,WNS
6276,39494,1,WNSy
6284,6739,1,BINHF
83358,2128,0,P6X
6270,6718,0,2BL
6283,6739,0,WAHS
83362,2130,1,P2H
6291,39519,1,XJXNY
6292,39519,1,33X1
6298,6757,1,BCNQY
6299,39356,1,WAE
6305,39572,1,WKISF
6308,39583,1,WHWRF
6297,6757,1,BIOCON
6316,6837,1,CVI
6322,6845,1,BSPM
6328,6847,1,BTSDF
83368,2132,1,PEAN
83370,25956,1,NFR
83373,90,1,0B8
83376,94,1,GS_pa
83377,94,1,GSC
83378,94,1,GSJ
83379,94,1,GS
6325,6845,0,7BNA
83386,2144,1,SANN
83388,2144,1,SPHDF
83390,2146,1,SHLRF
83392,2146,1,SHR
85089,33200,1,RDO
83394,2146,1,SCHP
6367,6899,1,BITA
6369,6899,1,BITAy
6341,6875,1,BIRLACORPN
6342,6876,1,BIRLACOT
6344,6877,1,BEO
83385,2143,0,CVNA
83384,2143,1,HREN
83389,2144,0,S3F
6422,6983,1,BLISSGVS
6417,39747,1,XIPC
6428,6988,1,BBU
6396,39712,1,XCHANGING
6401,6620,1,BFUT
6575,39896,1,XUE
6399,6949,0,7BG
6410,6974,1,BLBLIMITED
6439,6998,1,BLUECHIP
6442,7001,1,BLUECOAST
6444,7002,1,BDE
6463,7026,1,BLSI
6464,7027,1,BLUESTARCO
6498,39829,1,XJGTF
6499,39829,1,X1T
6468,39798,0,3XN
6907,7519,1,IHZ
6510,39838,1,MN5
6511,39838,1,XIRN
6516,39842,1,XYIGF
6518,39842,1,XI9
6523,39846,1,XINy
6524,39846,1,XIN
6541,7097,1,BBCZ
6544,39866,1,XPPLF
6547,7102,1,BRWZF
6549,39874,1,XPH
6538,7092,1,BODL
6551,39874,1,XPHLY
6554,39875,1,XPRO
6562,39885,1,XTEPY
7227,7932,1,H2Y
6570,39896,1,EXU
6573,39896,1,XUEy
6527,39846,0,3XRA
6614,39938,0,YME
6577,39899,1,XNET
6586,7141,1,BONA
6590,7141,1,BONAy
6593,39420,1,W05
6594,39420,1,WTHEF
6600,7159,1,BNSO
6606,39932,1,YKLTF
6583,7137,1,BRFL
6613,39938,1,YMDAF
6617,39940,1,S3Q
6620,39943,1,YFGSF
6623,39945,1,YAMHF
6629,6658,1,BHARTISHIP
6564,6648,1,BBSC
6638,39962,1,YMT
6639,39962,1,YMTKF
6624,39945,0,YMA
6840,40219,0,GZ3
6648,7199,1,BSDGF
6667,39992,1,YZJRMB
6670,39992,1,YSHLF
6672,39993,1,Z25
6673,39993,1,YLDGF
6680,39999,1,YNAJF
6681,39999,1,YNA1
